dep,nomdep,pop2017,propf2017,propf0142017,propf15392017,propf40592017,propf60p2017,prop0142017,prop15392017,prop40592017,prop60p2017,pop2018,propf2018,propf0142018,propf15392018,propf40592018,propf60p2018,prop0142018,prop15392018,prop40592018,prop60p2018,pop2019,propf2019,propf0142019,propf15392019,propf40592019,propf60p2019,prop0142019,prop15392019,prop40592019,prop60p2019,pop2020,propf2020,propf0142020,propf15392020,propf40592020,propf60p2020,prop0142020,prop15392020,prop40592020,prop60p2020,pop2021,propf2021,propf0142021,propf15392021,propf40592021,propf60p2021,prop0142021,prop15392021,prop40592021,prop60p2021,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
67,BAS-RHIN,1127718,0.5135619,0.48901415,0.50268,0.50718522,0.55257142,0.17067653,0.31466377,0.27459347,0.24006622,1133496,0.51371861,0.4895454,0.50237668,0.50793242,0.55144465,0.16982768,0.3119967,0.27359602,0.2445796,1139255,0.51389813,0.49011981,0.50208139,0.50869596,0.55040568,0.1690201,0.30933636,0.27258778,0.24905574,1145226,0.51406533,0.49072105,0.50174654,0.5094772,0.54938775,0.16825849,0.30672461,0.27156997,0.25344691,1151304,0.51423085,0.4913514,0.50147945,0.51018679,0.54839349,0.16756739,0.30412123,0.27054712,0.25776425,1157585,0.51439852,0.49194142,0.50118601,0.51093465,0.54747224,0.16690783,0.30155194,0.26951715,0.26202309
68,HAUT-RHIN,765937,0.51075739,0.48507494,0.49999085,0.50362688,0.54920739,0.17993908,0.28539684,0.28222165,0.25244242,769390,0.51069289,0.48398346,0.50016576,0.50433129,0.54783785,0.17929919,0.28227037,0.28132546,0.25710499,772851,0.510656,0.48297134,0.50041252,0.50499785,0.54654431,0.17871492,0.27915859,0.28038004,0.26174644,776492,0.51058608,0.48181883,0.50064611,0.50569594,0.54526287,0.17814736,0.27606595,0.27945685,0.26632985,780267,0.51051497,0.48069987,0.50087798,0.50636375,0.54406232,0.17769815,0.27296811,0.27852517,0.27080858,784236,0.51047009,0.47956404,0.50118124,0.50710422,0.54289263,0.17736115,0.26986519,0.27757844,0.27519521
69,RHONE,1855788,0.51849133,0.48682091,0.50947559,0.50928771,0.57089359,0.190227,0.34754777,0.24451661,0.2177086,1875748,0.51834041,0.48641086,0.50960171,0.50823545,0.57107037,0.19035073,0.3461611,0.24408236,0.2194058,1895715,0.51817811,0.4860042,0.50970799,0.50721014,0.57119817,0.19046798,0.34479815,0.24366479,0.2210691,1915668,0.51802921,0.48559612,0.50983775,0.50619447,0.57134885,0.19059148,0.34347078,0.24324727,0.22269046,1935757,0.51787907,0.4852002,0.50994933,0.50521106,0.57148254,0.19072331,0.34217,0.24282852,0.22427815,1955880,0.51772451,0.48479199,0.5100534,0.50424141,0.57160711,0.19085526,0.34088901,0.2424157,0.22584003
70,HAUTE-SAONE,237076,0.5093177,0.48839778,0.49433973,0.50066233,0.54331195,0.17941505,0.25448802,0.27383623,0.29226071,237114,0.50959033,0.48865774,0.49495324,0.50123882,0.54215419,0.17922181,0.25069797,0.27234158,0.29773864,237457,0.50981021,0.48910537,0.49555907,0.50165623,0.54092532,0.17897135,0.24702999,0.2707985,0.30320016,238059,0.51002061,0.48926446,0.49604833,0.50221711,0.53992563,0.17920768,0.24342705,0.26904255,0.30832273,238959,0.51028001,0.48933837,0.49683648,0.50276268,0.53899914,0.17937805,0.24009559,0.2673555,0.31317088,240211,0.51048034,0.48957804,0.49735367,0.50331408,0.53807157,0.17975031,0.23675436,0.26567891,0.31781641
71,SAONE-ET-LOIRE,554978,0.51459879,0.48177433,0.48946878,0.50582558,0.55743307,0.16475788,0.24449979,0.26646641,0.32427591,555190,0.51483995,0.48136371,0.48955575,0.50639278,0.55678916,0.16425548,0.24135341,0.26456529,0.32982582,555571,0.51508451,0.48100683,0.48966345,0.50689906,0.55621469,0.16390164,0.23821618,0.26259291,0.33528927,556226,0.51529771,0.48080367,0.48967543,0.50737447,0.55561364,0.1636619,0.23507711,0.2606135,0.34064752,557171,0.515576,0.48079517,0.48978454,0.50790942,0.55506313,0.1635925,0.23200238,0.25857231,0.34583279,558406,0.51576275,0.48080289,0.48961681,0.50834918,0.55454504,0.16362289,0.22895707,0.2565302,0.35088986
72,SARTHE,568964,0.51369333,0.49194849,0.49652538,0.50419205,0.55404764,0.18532982,0.27289775,0.26371792,0.27805451,570704,0.51374441,0.4916839,0.49678895,0.50455743,0.55285889,0.18457554,0.26984042,0.26278946,0.28279459,572478,0.5137071,0.49119025,0.49699077,0.50489056,0.55164015,0.18390401,0.26672989,0.2618092,0.28755692,574365,0.5137465,0.4907864,0.49727628,0.50533295,0.55050665,0.18320233,0.26367727,0.26085156,0.29226884,576402,0.51376295,0.49039128,0.49754679,0.50579119,0.54935282,0.18263122,0.2606011,0.25988287,0.2968848,578626,0.51382065,0.49020648,0.49789995,0.50614548,0.54829961,0.18220232,0.2575826,0.25886324,0.30135182
73,SAVOIE,433063,0.51090717,0.49156079,0.49136868,0.50000417,0.55669719,0.17703198,0.28318051,0.27797109,0.26181641,436894,0.51115602,0.49318162,0.49153483,0.49939767,0.55599141,0.17640664,0.28012288,0.27740824,0.26606226,440754,0.51138049,0.49470535,0.49171281,0.49883997,0.55523562,0.17590538,0.27706158,0.27675527,0.27027774,444676,0.51157922,0.49615484,0.49176669,0.49829373,0.55461103,0.17545359,0.27409396,0.27611789,0.27433458,448701,0.51182413,0.49773979,0.49195901,0.49777102,0.55394781,0.175023,0.27120286,0.27545962,0.2783145,452828,0.5119803,0.4993422,0.49208072,0.49705511,0.55326176,0.17457402,0.26839992,0.27483505,0.28219104
74,HAUTE-SAVOIE,827732,0.50878906,0.48416668,0.49717647,0.50278103,0.55488986,0.19399878,0.31042293,0.27759227,0.21798602,854127,0.50888687,0.48416436,0.4977791,0.50211805,0.5547595,0.19374286,0.30891892,0.27721521,0.22012301,880627,0.50897032,0.4841297,0.49832699,0.50152391,0.55462408,0.19354846,0.30747411,0.27683118,0.22214627,907121,0.5090633,0.48418605,0.49887645,0.50091708,0.55449992,0.19334024,0.30612674,0.27647468,0.22405832,933630,0.50918031,0.48426983,0.49944136,0.50037432,0.55439997,0.19317503,0.30485311,0.27612758,0.22584428,960200,0.50927514,0.48430526,0.49993655,0.4998565,0.55433053,0.19299833,0.30364403,0.27580503,0.22755259
75,PARIS,2178137,0.52985507,0.4920224,0.52420288,0.51790649,0.57723027,0.13952887,0.38716021,0.25210994,0.22120096,2166164,0.53003192,0.4921478,0.52520776,0.51764786,0.57566023,0.13880759,0.38467816,0.25215679,0.22435744,2154190,0.53021181,0.49227589,0.52623785,0.5173853,0.57412201,0.13807742,0.38216546,0.25220755,0.22754957,2142215,0.53039169,0.49240333,0.52729249,0.51711631,0.57260841,0.13733822,0.37962809,0.25225806,0.23077562,2130237,0.53057432,0.49253535,0.52837503,0.51684439,0.57111937,0.13659137,0.37705806,0.25230947,0.23404109,2118266,0.53075957,0.4926739,0.52948332,0.5165714,0.56965661,0.13583657,0.37446243,0.25235972,0.2373413
76,SEINE-MARITIME,1249797,0.51876825,0.48836786,0.50107014,0.51287115,0.56824136,0.18427792,0.30430222,0.25851157,0.25290826,1252359,0.51858133,0.48829579,0.50106215,0.51273137,0.5668003,0.18426985,0.30220407,0.25683209,0.25669396,1255062,0.51840627,0.48823404,0.50111252,0.51254034,0.56542778,0.18429607,0.30008557,0.25516349,0.26045486,1257986,0.51820689,0.48819801,0.50106847,0.51233351,0.56411219,0.18435022,0.29796913,0.2534909,0.26418975,1261187,0.51802945,0.48822147,0.50104654,0.51215523,0.56283689,0.18448414,0.29585224,0.25179297,0.26787066,1264709,0.51784879,0.48820901,0.50102288,0.51201105,0.56159621,0.18468122,0.29374978,0.25009072,0.27147827
